Albania	28	8n,16c	ALkk bbbs sssx cccc cccc cccc cccc
Andorra	24	8n,12c	ADkk bbbb ssss cccc cccc cccc
Austria	20	16n	ATkk bbbb bccc cccc cccc
Azerbaijan	28	4a,20c	AZkk bbbb cccc cccc cccc cccc cccc
Bahrain	22	4a,14c	BHkk bbbb cccc cccc cccc cc
Belarus	28	4c, 4n, 16c	BYkk bbbb aaaa cccc cccc cccc cccc
Belgium	16	12n	BEkk bbbc cccc ccxx
Bosnia and Herzegovina	20	16n	BAkk bbbs sscc cccc ccxx
Brazil	29	23n,1a,1c	BRkk bbbb bbbb ssss sccc cccc ccct n
Bulgaria	22	4a,6n,8c	BGkk bbbb ssss ttcc cccc cc
Costa Rica	22	18n	CRkk 0bbb cccc cccc cccc cc
Croatia	21	17n	HRkk bbbb bbbc cccc cccc c
Cyprus	28	8n,16c	CYkk bbbs ssss cccc cccc cccc cccc
Czech Republic	24	20n	CZkk bbbb pppp ppcc cccc cccc
Denmark	18	14n	DKkk bbbb cccc cccc cx
Dominican Republic	28	4c,20n	DOkk bbbb cccc cccc cccc cccc cccc
East Timor	23	19n	TLkk bbbc cccc cccc cccc cxx
Egypt	29	25n	EGkk bbbb ssss cccc cccc cccc cccc c
El Salvador	28	4a, 20n	SVkk bbbb cccc cccc cccc cccc cccc
Estonia	20	16n	EEkk bbss cccc cccc cccx
Faroe Islands	18	14n	FOkk bbbb cccc cccc cx
Finland	18	14n	FIkk bbbb bbcc cccc cx
France	27	10n,11c,2n	FRkk bbbb bsss sscc cccc cccc cxx
French Polynesia	27	10n,11c,2n	PFkk bbbb bsss sscc cccc cccc cxx
French Southern Territories	27	10n,11c,2n	TFkk bbbb bsss sscc cccc cccc cxx
Georgia	22	2a,16n	GEkk bbcc cccc cccc cccc cc
Germany	22	18n	DEkk bbbb bbbb cccc cccc cc
Gibraltar	23	4a,15c	GIkk bbbb cccc cccc cccc ccc
Greece	27	7n,16c	GRkk bbbs sssc cccc cccc cccc ccc
Greenland	18	14n	GLkk bbbb cccc cccc cx
Guatemala	28	4c,20c	GTkk bbbb mmtt cccc cccc cccc cccc
Hungary	28	24n	HUkk bbbs sssx cccc cccc cccc cccx
Iceland	26	22n	ISkk bbss ttcc cccc iiii iiii ii
Iraq	23	4a,15n	IQkk bbbb sssc cccc cccc ccc
Ireland	22	4a,6n,8n	IEkk qqqq bbbb bbcc cccc cc
Israel	23	19n	ILkk bbbs sscc cccc cccc ccc
Italy	27	1a,10n,12c	ITkk xbbb bbss sssc cccc cccc ccc
Jordan	30	4a,4n,18c	JOkk bbbb ssss cccc cccc cccc cccc cc
Kazakhstan	20	3n,13c	KZkk bbbc cccc cccc cccc
Kosovo	20	4n,10n,2n	XKkk bbbb cccc cccc cccc
